Scheme,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
4-4-2,gk,rb,rcb,lcb,lb,rw,rcmf,lcmf,lw,ss,cf
4-4-1-1,gk,rb,rcb,lcb,lb,rw,rcmf,lcmf,lw,amf,cf
4-3-2-1,gk,rb,rcb,lcb,lb,rcmf3,dmf,lcmf3,amf,amf,cf
4-2-3-1,gk,rb,rcb,lcb,lb,rdmf,ldmf,ramf,amf,lamf,cf
4-1-4-1,gk,rb,rcb,lcb,lb,dmf,rw,rcmf,lcmf,lw,cf
4-1-3-2,gk,rb,rcb,lcb,lb,dmf,ramf,amf,lamf,ss,cf
4-3-1-2,gk,rb,rcb,lcb,lb,rcmf3,dmf,lcmf3,amf,ss,cf
4-3-3,gk,rb,rcb,lcb,lb,rcmf3,dmf,lcmf3,rwf,cf,lwf
4-5-1,gk,rb,rcb,lcb,lb,rw,rcmf3,dmf,lcmf3,lw,cf
4-2-2-2,gk,rb,rcb,lcb,lb,rdmf,ldmf,ramf,lamf,ss,cf
4-2-1-3,gk,rb,rcb,lcb,lb,rdmf,ldmf,amf,rwf,cf,lwf
3-4-3,gk,rcb3,cb,lcb3,rwb,rcmf,lcmf,lwb,rwf,cf,lwf
3-4-1-2,gk,rcb3,cb,lcb3,rwb,rcmf,lcmf,lwb,amf,ss,cf
3-4-2-1,gk,rcb3,cb,lcb3,rwb,rcmf,lcmf,lwb,amf,amf,cf
3-5-2,gk,rcb3,cb,lcb3,rwb,rcmf3,dmf,lcmf3,lwb,ss,cf
3-5-1-1,gk,rcb3,cb,lcb3,rw,rcmf3,dmf,lcmf3,lw,amf,cf
5-3-2,gk,rb5,rcb3,cb,lcb3,lb5,rcmf3,dmf,lcmf3,ss,cf
5-4-1,gk,rb5,rcb3,cb,lcb3,lb5,rw,rcmf,lcmf,lw,cf
4-3-2,gk,rb,rcb,lcb,lb,rcmf3,dmf,lcmf3,ss,cf,esp
4-4-1,gk,rb,rcb,lcb,lb,rw,rcmf,lcmf,lw,cf,esp
4-3-1-1,gk,rb,rcb,lcb,lb,rcmf3,dmf,lcmf3,amf,cf,esp
4-2-2-1,gk,rb,rcb,lcb,lb,rdmf,ldmf,amf,amf,cf,esp
4-1-3-1,gk,rb,rcb,lcb,lb,dmf,ramf,amf,lamf,cf,esp
4-2-1-2,gk,rb,rcb,lcb,lb,rdmf,ldmf,amf,ss,cf,esp
3-4-2,gk,rcb3,cb,lcb3,rwb,rcmf,lcmf,lwb,ss,cf,esp
3-4-1-1,gk,rcb3,cb,lcb3,rwb,rcmf,lcmf,lwb,amf,cf,esp
3-5-1,gk,rcb3,cb,lcb3,rwb,rcmf3,dmf,lcmf3,lwb,cf,esp
5-3-1,gk,rb5,rcb3,cb,lcb3,lb5,rcmf3,dmf,lcmf3,cf,esp
4-3-1,gk,rb,rcb,lcb,lb,rcmf3,dmf,lcmf3,cf,esp,esp
4-4-0,gk,rb,rcb,lcb,lb,rw,rcmf,lcmf,lw,esp,esp
4-2-2-0,gk,rb,rcb,lcb,lb,rdmf,ldmf,amf,amf,esp,esp
3-4-1,gk,rcb3,cb,lcb3,rwb,rcmf,lcmf,lwb,cf,esp,esp
5-3-0,gk,rb5,rcb3,cb,lcb3,lb5,rcmf3,dmf,lcmf3,esp,esp
3-3-3-1,gk,rcb3,cb,lcb3,rcmf3,dmf,lcmf3,ramf,amf,lamf,cf
3-2-3-2,gk,rcb3,cb,lcb3,rdmf,ldmf,ramf,amf,lamf,ss,cf